Year,Crime Type,Sex,Person,Victimisation Rate,Male ('000),Female ('000)
2021,Direct Threat,Female,205300,2.0,,
2022,Direct Threat,Female,228000,2.1,,
2008,Indirect Threat,Female,104700,1.2,,
2009,Indirect Threat,Female,83500,0.9,,
2010,Indirect Threat,Female,97000,1.1,,
2011,Indirect Threat,Female,106000,1.2,,
2012,Indirect Threat,Female,119200,1.3,,
2013,Indirect Threat,Female,107600,1.1,,
2014,Indirect Threat,Female,109900,1.2,,
2015,Indirect Threat,Female,101500,1.1,,
2016,Indirect Threat,Female,98800,1.0,,
2017,Indirect Threat,Female,85700,0.9,,
2018,Indirect Threat,Female,117100,1.2,,
2019,Indirect Threat,Female,104700,1.0,,
2020,Indirect Threat,Female,102400,1.0,,
2021,Indirect Threat,Female,74300,0.7,,
2022,Indirect Threat,Female,94000,0.9,,
2008,Combined Threats,Female,410800,4.8,,
2009,Combined Threats,Female,411000,4.6,,
2010,Combined Threats,Female,402700,4.5,,
2011,Combined Threats,Female,416700,4.6,,
2012,Combined Threats,Female,365800,3.9,,
2013,Combined Threats,Female,367600,3.9,,
2014,Combined Threats,Female,356300,3.7,,
2015,Combined Threats,Female,413000,4.3,,
2016,Combined Threats,Female,386900,4.0,,
2017,Combined Threats,Female,407700,4.1,,
2018,Combined Threats,Female,427100,4.2,,
2019,Combined Threats,Female,426400,4.2,,
2020,Combined Threats,Female,386200,3.7,,
2021,Combined Threats,Female,349300,3.4,,
2022,Combined Threats,Female,364600,3.4,,
2008,Combined Assaults,Female,436400,5.1,,
2009,Combined Assaults,Female,431700,4.9,,
2010,Combined Assaults,Female,430000,4.8,,
2011,Combined Assaults,Female,452900,4.9,,
2012,Combined Assaults,Female,400700,4.3,,
2013,Combined Assaults,Female,392700,4.2,,
2014,Combined Assaults,Female,382200,4.0,,
2015,Combined Assaults,Female,432700,4.5,,
2016,Combined Assaults,Female,418800,4.3,,
2017,Combined Assaults,Female,435800,4.4,,
2018,Combined Assaults,Female,449500,4.4,,
2019,Combined Assaults,Female,450400,4.4,,
2020,Combined Assaults,Female,416300,4.0,,
2021,Combined Assaults,Female,371600,3.6,,
2022,Combined Assaults,Female,382500,3.6,,
2008,Robbery,Female,27400,0.3,,
2009,Robbery,Female,27800,0.3,,
2010,Robbery,Female,30400,0.3,,
2011,Robbery,Female,26800,0.3,,
2012,Robbery,Female,15500,0.2,,
2013,Robbery,Female,31000,0.3,,
2014,Robbery,Female,25900,0.3,,
2015,Robbery,Female,29900,0.3,,
2016,Robbery,Female,39400,0.4,,
2017,Robbery,Female,17000,0.2,,
2018,Robbery,Female,34700,0.3,,
2019,Robbery,Female,28900,0.3,,
2020,Robbery,Female,25800,0.2,,
2021,Robbery,Female,21200,0.2,,
2022,Robbery,Female,24000,0.2,,
2008,Sexual Assault,Female,41200,0.5,,
2009,Sexual Assault,Female,34300,0.4,,
2010,Sexual Assault,Female,50700,0.6,,
2011,Sexual Assault,Female,43400,0.5,,
2012,Sexual Assault,Female,26400,0.3,,
2013,Sexual Assault,Female,41000,0.5,,
2014,Sexual Assault,Female,50200,0.6,,
2015,Sexual Assault,Female,60200,0.7,,
2016,Sexual Assault,Female,65400,0.7,,
2017,Sexual Assault,Female,43100,0.5,,
2018,Sexual Assault,Female,68600,0.7,,
2019,Sexual Assault,Female,50000,0.5,,
2020,Sexual Assault,Female,92500,0.9,,
2021,Sexual Assault,Female,92800,0.9,,
2022,Sexual Assault,Female,65600,0.7,,
