Year,Crime Type,Sex,Person,Victimisation Rate,Male ('000),Female ('000)
2010,Direct Assault,Female,"230,100",2.6,,
2011,Direct Assault,Female,"227,900",2.5,,
2012,Direct Assault,Female,"204,400",2.2,,
2013,Direct Assault,Female,"223,800",2.4,,
2014,Direct Assault,Female,"224,500",2.4,,
2015,Direct Assault,Female,"242,500",2.5,,
2016,Direct Assault,Female,"208,300",2.1,,
2017,Direct Assault,Female,"212,300",2.1,,
2018,Direct Assault,Female,"254,600",2.5,,
2019,Direct Assault,Female,"235,900",2.3,,
2020,Direct Assault,Female,"215,000",2.1,,
2021,Direct Assault,Female,"205,300",2.0,,
2022,Direct Assault,Female,"228,000",2.1,,
2008,Indirect Assault,Female,"104,700",1.2,,
2009,Indirect Assault,Female,"83,500",0.9,,
2010,Indirect Assault,Female,"97,000",1.1,,
2011,Indirect Assault,Female,"106,000",1.2,,
2012,Indirect Assault,Female,"119,200",1.3,,
2013,Indirect Assault,Female,"107,600",1.1,,
2014,Indirect Assault,Female,"109,900",1.2,,
2015,Indirect Assault,Female,"101,500",1.1,,
2016,Indirect Assault,Female,"98,800",1.0,,
2017,Indirect Assault,Female,"85,700",0.9,,
2018,Indirect Assault,Female,"117,100",1.2,,
2019,Indirect Assault,Female,"104,700",1.0,,
2020,Indirect Assault,Female,"102,400",1.0,,
2021,Indirect Assault,Female,"74,300",0.7,,
2022,Indirect Assault,Female,"94,000",0.9,,
2008,Combined Threats,Female,"410,800",4.8,,
2009,Combined Threats,Female,"411,000",4.6,,
2010,Combined Threats,Female,"402,700",4.5,,
2011,Combined Threats,Female,"416,700",4.6,,
2012,Combined Threats,Female,"365,800",3.9,,
2013,Combined Threats,Female,"367,600",3.9,,
2014,Combined Threats,Female,"356,300",3.7,,
2015,Combined Threats,Female,"413,000",4.3,,
2016,Combined Threats,Female,"386,900",4.0,,
2017,Combined Threats,Female,"407,700",4.1,,
2018,Combined Threats,Female,"427,100",4.2,,
2019,Combined Threats,Female,"426,400",4.2,,
2020,Combined Threats,Female,"386,200",3.7,,
2021,Combined Threats,Female,"349,300",3.4,,
2022,Combined Threats,Female,"364,600",3.4,,
2008,Combined  Assaults,Female,"436,400",5.1,,
2009,Combined  Assaults,Female,"431,700",4.9,,
2010,Combined  Assaults,Female,"430,000",4.8,,
2011,Combined  Assaults,Female,"452,900",4.9,,
2012,Combined  Assaults,Female,"400,700",4.3,,
2013,Combined  Assaults,Female,"392,700",4.2,,
2014,Combined  Assaults,Female,"382,200",4.0,,
2015,Combined  Assaults,Female,"432,700",4.5,,
2016,Combined  Assaults,Female,"418,800",4.3,,
2017,Combined  Assaults,Female,"435,800",4.4,,
2018,Combined  Assaults,Female,"449,500",4.4,,
2019,Combined  Assaults,Female,"450,400",4.4,,
2020,Combined  Assaults,Female,"416,300",4.0,,
2021,Combined  Assaults,Female,"371,600",3.6,,
2022,Combined  Assaults,Female,"382,500",3.6,,
2008,Robbery,Female,"27,400",0.3,,
2009,Robbery,Female,"27,800",0.3,,
2010,Robbery,Female,"30,400",0.3,,
2011,Robbery,Female,"26,800",0.3,,
2012,Robbery,Female,"15,500",0.2,,
2013,Robbery,Female,"31,000",0.3,,
2014,Robbery,Female,"25,900",0.3,,
2015,Robbery,Female,"29,900",0.3,,
2016,Robbery,Female,"39,400",0.4,,
2017,Robbery,Female,"17,000",0.2,,
2018,Robbery,Female,"34,700",0.3,,
2019,Robbery,Female,"28,900",0.3,,
2020,Robbery,Female,"25,800",0.2,,
2021,Robbery,Female,"21,200",0.2,,
2022,Robbery,Female,"24,000",0.2,,
2008,Sexual Assault,Female,"41,200",0.5,,
2009,Sexual Assault,Female,"34,300",0.4,,
2010,Sexual Assault,Female,"50,700",0.6,,
2011,Sexual Assault,Female,"43,400",0.5,,
2012,Sexual Assault,Female,"26,400",0.3,,
2013,Sexual Assault,Female,"41,000",0.5,,
2014,Sexual Assault,Female,"50,200",0.6,,
2015,Sexual Assault,Female,"60,200",0.7,,
2016,Sexual Assault,Female,"65,400",0.7,,
2017,Sexual Assault,Female,"43,100",0.5,,
2018,Sexual Assault,Female,"68,600",0.7,,
2019,Sexual Assault,Female,"50,000",0.5,,
2020,Sexual Assault,Female,"92,500",0.9,,
2021,Sexual Assault,Female,"92,800",0.9,,
2022,Sexual Assault,Female,"65,600",0.7,,
